,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_celsius,windspeed_kh,atemp,hum,casual,registered,cs_ratio,cnt,season_cat,cnt_cat
58,59,28/02/2011,1,0,2,0,1,1,2,16.698193,19.408962,0.400118,87.6364,81,1365,0.05934065934065934,1446,Winter,Uso bajo
59,60,01/03/2011,1,0,3,0,2,1,1,10.933347,14.500475,0.263879,53.5,137,1714,0.07992998833138856,1851,Winter,Uso bajo
60,61,02/03/2011,1,0,3,0,3,1,1,13.735,20.624811,0.320071,44.9583,231,1903,0.12138728323699421,2134,Winter,Uso bajo
61,62,03/03/2011,1,0,3,0,4,1,1,8.131653,15.125518,0.200133,31.8333,123,1562,0.07874519846350832,1685,Winter,Uso bajo
62,63,04/03/2011,1,0,3,0,5,1,2,10.728347,13.624182,0.255679,61.0417,214,1730,0.12369942196531791,1944,Winter,Uso bajo
63,64,05/03/2011,1,0,3,0,6,0,2,15.750847,16.875357,0.378779,78.9167,640,1437,0.4453723034098817,2077,Winter,Uso bajo
64,65,06/03/2011,1,0,3,0,0,0,2,15.437402,23.000229,0.366252,94.8261,114,491,0.23217922606924643,605,Winter,Uso bajo
65,66,07/03/2011,1,0,3,0,1,1,1,10.731299,22.870584,0.238461,55.1304,244,1628,0.14987714987714987,1872,Winter,Uso bajo
66,67,08/03/2011,1,0,3,0,2,1,1,11.9925,8.08355,0.3024,42.0833,316,1817,0.17391304347826086,2133,Winter,Uso bajo
67,68,09/03/2011,1,0,3,0,3,1,2,12.129153,14.75005,0.286608,77.5417,191,1700,0.11235294117647059,1891,Winter,Uso bajo
68,69,10/03/2011,1,0,3,0,4,1,3,15.952731,17.545759,0.385668,0.0,46,577,0.07972270363951472,623,Winter,Uso bajo
69,70,11/03/2011,1,0,3,0,5,1,2,12.977402,15.60899,0.305,64.9565,247,1730,0.14277456647398845,1977,Winter,Uso bajo
70,71,12/03/2011,1,0,3,0,6,0,1,13.495847,14.791925,0.32575,59.4583,724,1408,0.5142045454545454,2132,Winter,Uso bajo
71,72,13/03/2011,1,0,3,0,0,0,1,15.758268,18.130468,0.380091,52.7391,982,1435,0.6843205574912892,2417,Winter,Uso bajo
72,73,14/03/2011,1,0,3,0,1,1,1,13.333897,9.174042,0.332,49.6957,359,1687,0.21280379371665678,2046,Winter,Uso bajo
73,74,15/03/2011,1,0,3,0,2,1,2,13.013031,12.348703,0.318178,65.5652,289,1767,0.16355404640633842,2056,Winter,Uso bajo
74,75,16/03/2011,1,0,3,0,3,1,2,14.973897,13.608839,0.36693,77.6522,321,1871,0.17156600748262962,2192,Winter,Uso bajo
75,76,17/03/2011,1,0,3,0,4,1,1,17.015,14.041793,0.410333,60.2917,424,2320,0.18275862068965518,2744,Winter,Uso medio
76,77,18/03/2011,1,0,3,0,5,1,1,22.14,15.478139,0.527009,52.5217,884,2355,0.3753715498938429,3239,Winter,Uso medio
77,78,19/03/2011,1,0,3,0,6,0,1,19.3725,24.667189,0.466525,37.9167,1424,1693,0.8411104548139398,3117,Winter,Uso medio
78,79,20/03/2011,1,0,3,0,0,0,1,13.6325,13.917307,0.32575,47.375,1047,1424,0.735252808988764,2471,Winter,Uso bajo
79,80,21/03/2011,2,0,3,0,1,1,2,17.647835,19.348461,0.409735,73.7391,401,1676,0.2392601431980907,2077,Spring,Uso bajo
80,81,22/03/2011,2,0,3,0,2,1,1,18.108347,15.12525,0.440642,62.4583,460,2243,0.2050824788230049,2703,Spring,Uso medio
81,82,23/03/2011,2,0,3,0,3,1,2,14.225237,15.695487,0.337939,83.9565,203,1918,0.10583941605839416,2121,Spring,Uso bajo
82,83,24/03/2011,2,0,3,0,4,1,2,11.685,16.333729,0.270833,80.5833,166,1699,0.09770453207769277,1865,Spring,Uso bajo
83,84,25/03/2011,2,0,3,0,5,1,1,10.830847,15.458575,0.256312,49.5,300,1910,0.15706806282722513,2210,Spring,Uso bajo
84,85,26/03/2011,2,0,3,0,6,0,1,10.899153,14.041257,0.257571,39.4167,981,1515,0.6475247524752475,2496,Spring,Uso bajo
85,86,27/03/2011,2,0,3,0,0,0,2,10.374763,12.3481,0.250339,49.3913,472,1221,0.38656838656838655,1693,Spring,Uso bajo
86,87,28/03/2011,2,0,3,0,1,1,1,10.838268,14.217668,0.257574,30.2174,222,1806,0.12292358803986711,2028,Spring,Uso bajo
87,88,29/03/2011,2,0,3,0,2,1,1,12.4025,15.208732,0.292908,31.4167,317,2108,0.15037950664136623,2425,Spring,Uso bajo
88,89,30/03/2011,2,0,3,0,3,1,2,12.3,11.583496,0.29735,64.6667,168,1368,0.12280701754385964,1536,Spring,Uso bajo
89,90,31/03/2011,2,0,3,0,4,1,3,11.001653,14.582282,0.257575,91.8333,179,1506,0.11885790172642763,1685,Spring,Uso bajo
90,91,01/04/2011,2,0,4,0,5,1,2,12.3,17.333436,0.283454,68.625,307,1920,0.15989583333333332,2227,Spring,Uso bajo
91,92,02/04/2011,2,0,4,0,6,0,2,12.915,13.208782,0.315637,65.375,898,1354,0.6632200886262924,2252,Spring,Uso bajo
92,93,03/04/2011,2,0,4,0,0,0,1,15.511653,12.208271,0.378767,48.0,1651,1598,1.0331664580725908,3249,Spring,Uso medio
93,94,04/04/2011,2,0,4,0,1,1,1,23.506653,25.833257,0.542929,42.625,734,2381,0.30827383452330953,3115,Spring,Uso medio
94,95,05/04/2011,2,0,4,0,2,1,2,16.980847,26.000489,0.39835,64.2083,167,1628,0.10257985257985258,1795,Spring,Uso bajo
95,96,06/04/2011,2,0,4,0,3,1,1,16.024153,17.625221,0.387608,47.0833,413,2395,0.17244258872651358,2808,Spring,Uso medio
96,97,07/04/2011,2,0,4,0,4,1,1,17.9375,10.874904,0.433696,60.2917,571,2570,0.22217898832684824,3141,Spring,Uso medio
97,98,08/04/2011,2,0,4,0,5,1,2,13.769153,15.208464,0.324479,83.625,172,1299,0.13240954580446498,1471,Spring,Uso bajo
98,99,09/04/2011,2,0,4,0,6,0,2,14.0425,8.916561,0.341529,87.75,879,1576,0.557741116751269,2455,Spring,Uso bajo
99,100,10/04/2011,2,0,4,0,0,0,2,17.493347,9.833389,0.426737,85.75,1188,1707,0.6959578207381371,2895,Spring,Uso medio
100,101,11/04/2011,2,0,4,0,1,1,2,24.421732,21.739758,0.565217,71.6956,855,2493,0.34296028880866425,3348,Spring,Uso medio
101,102,12/04/2011,2,0,4,0,2,1,2,20.6025,18.416893,0.493054,73.9167,257,1777,0.144625773776027,2034,Spring,Uso bajo
102,103,13/04/2011,2,0,4,0,3,1,2,16.9125,16.791339,0.417283,81.9167,209,1953,0.10701484895033282,2162,Spring,Uso bajo
103,104,14/04/2011,2,0,4,0,4,1,1,19.1675,7.4169,0.462742,54.0417,529,2738,0.19320672023374727,3267,Spring,Uso medio
104,105,15/04/2011,2,0,4,1,5,0,1,18.313347,15.167125,0.441913,67.125,642,2484,0.2584541062801932,3126,Spring,Uso medio
105,106,16/04/2011,2,0,4,0,6,0,3,17.664153,22.834136,0.425492,88.8333,121,674,0.1795252225519288,795,Spring,Uso bajo
106,107,17/04/2011,2,0,4,0,0,0,1,18.723347,20.334232,0.445696,47.9583,1558,2186,0.7127172918572735,3744,Spring,Uso medio
107,108,18/04/2011,2,0,4,0,1,1,1,21.0125,10.958989,0.503146,54.25,669,2760,0.24239130434782608,3429,Spring,Uso medio
108,109,19/04/2011,2,0,4,0,2,1,2,20.739153,10.584057,0.489258,66.5833,409,2795,0.14633273703041144,3204,Spring,Uso medio
109,110,20/04/2011,2,0,4,0,3,1,1,24.395,16.208975,0.564392,61.4167,613,3331,0.1840288201741219,3944,Spring,Uso medio
110,111,21/04/2011,2,0,4,0,4,1,1,18.825847,21.792286,0.453892,40.7083,745,3444,0.21631823461091754,4189,Spring,Uso medio
111,112,22/04/2011,2,0,4,0,5,1,2,13.803347,14.707907,0.321954,72.9583,177,1506,0.11752988047808766,1683,Spring,Uso bajo
112,113,23/04/2011,2,0,4,0,6,0,2,18.86,15.458575,0.450121,88.7917,1462,2574,0.567987567987568,4036,Spring,Uso medio
113,114,24/04/2011,2,0,4,0,0,0,2,23.848347,12.875725,0.551763,81.0833,1710,2481,0.6892382103990327,4191,Spring,Uso medio
114,115,25/04/2011,2,0,4,0,1,1,1,24.873347,12.417311,0.5745,77.6667,773,3300,0.23424242424242425,4073,Spring,Uso medio
115,116,26/04/2011,2,0,4,0,2,1,1,25.898347,21.8755,0.594083,72.9167,678,3722,0.18216012896292316,4400,Spring,Uso medio
116,117,27/04/2011,2,0,4,0,3,1,2,25.42,20.9174,0.575142,83.5417,547,3325,0.16451127819548872,3872,Spring,Uso medio
117,118,28/04/2011,2,0,4,0,4,1,2,25.3175,21.500836,0.578929,70.0833,569,3489,0.16308397821725423,4058,Spring,Uso medio
118,119,29/04/2011,2,0,4,0,5,1,1,20.91,16.084221,0.497463,45.7083,878,3717,0.23621199892386333,4595,Spring,Uso medio
119,120,30/04/2011,2,0,4,0,6,0,1,19.3725,15.750025,0.464021,50.3333,1965,3347,0.5870929190319689,5312,Spring,Uso medio
120,121,01/05/2011,2,0,5,0,0,0,2,18.518347,7.125718,0.448204,76.2083,1138,2213,0.5142340713962946,3351,Spring,Uso medio
121,122,02/05/2011,2,0,5,0,1,1,2,22.515847,12.291418,0.532833,73.0,847,3554,0.23832301631963984,4401,Spring,Uso medio
122,123,03/05/2011,2,0,5,0,2,1,2,25.283347,22.958689,0.582079,69.7083,603,3848,0.1567047817047817,4451,Spring,Uso medio
123,124,04/05/2011,2,0,5,0,3,1,2,16.980847,22.042732,0.40465,73.7083,255,2378,0.10723296888141295,2633,Spring,Uso medio
124,125,05/05/2011,2,0,5,0,4,1,1,18.825847,19.791264,0.441917,44.4167,614,3819,0.16077507200837915,4433,Spring,Uso medio
125,126,06/05/2011,2,0,5,0,5,1,1,19.645847,15.292482,0.474117,59.0,894,3714,0.2407108239095315,4608,Spring,Uso medio
126,127,07/05/2011,2,0,5,0,6,0,1,21.32,10.75015,0.512621,54.125,1612,3102,0.5196647324306899,4714,Spring,Uso medio
127,128,08/05/2011,2,0,5,0,0,0,1,21.661653,5.0007125,0.518933,63.1667,1401,2932,0.47783083219645295,4333,Spring,Uso medio
128,129,09/05/2011,2,0,5,0,1,1,1,21.8325,11.792,0.525246,58.875,664,3698,0.1795565170362358,4362,Spring,Uso medio
129,130,10/05/2011,2,0,5,0,2,1,1,21.8325,7.749957,0.522721,48.9167,694,4109,0.16889754198101728,4803,Spring,Uso medio
130,131,11/05/2011,2,0,5,0,3,1,1,22.2425,8.083014,0.5284,63.2917,550,3632,0.15143171806167402,4182,Spring,Uso medio
131,132,12/05/2011,2,0,5,0,4,1,1,21.935,12.707689,0.523363,74.75,695,4169,0.16670664427920365,4864,Spring,Uso medio
132,133,13/05/2011,2,0,5,0,5,1,2,21.0125,12.041575,0.4943,86.3333,692,3413,0.2027541752124231,4105,Spring,Uso medio
133,134,14/05/2011,2,0,5,0,6,0,2,21.354153,9.04165,0.500629,92.25,902,2507,0.35979258077383325,3409,Spring,Uso medio
134,135,15/05/2011,2,0,5,0,0,0,2,23.0625,10.249593,0.536,86.7083,1582,2971,0.5324806462470548,4553,Spring,Uso medio
135,136,16/05/2011,2,0,5,0,1,1,1,23.6775,8.500357,0.550512,78.7917,773,3185,0.24270015698587127,3958,Spring,Uso medio
136,137,17/05/2011,2,0,5,0,2,1,2,23.028347,18.582718,0.538529,83.7917,678,3445,0.19680696661828737,4123,Spring,Uso medio
137,138,18/05/2011,2,0,5,0,3,1,2,22.55,13.499964,0.527158,87.0,536,3319,0.16149442603193734,3855,Spring,Uso medio
138,139,19/05/2011,2,0,5,0,4,1,2,21.764153,7.250271,0.510742,82.9583,735,3840,0.19140625,4575,Spring,Uso medio
139,140,20/05/2011,2,0,5,0,5,1,1,22.003347,8.375871,0.529042,71.9583,909,4008,0.22679640718562874,4917,Spring,Uso medio
140,141,21/05/2011,2,0,5,0,6,0,1,24.7025,8.08355,0.571975,62.6667,2258,3547,0.6365943050465181,5805,Spring,Uso medio
141,142,22/05/2011,2,0,5,0,0,0,1,24.770847,9.916536,0.5745,74.9583,1576,3084,0.5110246433203631,4660,Spring,Uso medio
142,143,23/05/2011,2,0,5,0,1,1,2,25.898347,15.667414,0.590296,81.0,836,3438,0.24316463059918558,4274,Spring,Uso medio
143,144,24/05/2011,2,0,5,0,2,1,2,27.06,13.875164,0.604813,74.0833,659,3833,0.17192799373858597,4492,Spring,Uso medio
144,145,25/05/2011,2,0,5,0,3,1,1,27.094153,10.333611,0.615542,69.625,740,4238,0.1746106654082114,4978,Spring,Uso medio
145,146,26/05/2011,2,0,5,0,4,1,1,29.041653,13.376014,0.654688,67.75,758,3919,0.19341668793059455,4677,Spring,Uso medio
146,147,27/05/2011,2,0,5,0,5,1,1,27.948347,16.125493,0.637008,65.375,871,3808,0.22872899159663865,4679,Spring,Uso medio
147,148,28/05/2011,2,0,5,0,6,0,1,26.889153,15.416164,0.612379,72.9583,2001,2757,0.7257889009793254,4758,Spring,Uso medio
148,149,29/05/2011,2,0,5,0,0,0,1,27.3675,14.333846,0.61555,81.875,2355,2433,0.967940813810111,4788,Spring,Uso medio
149,150,30/05/2011,2,0,5,1,1,0,1,30.066653,8.792075,0.671092,68.5,1549,2549,0.6076892899176147,4098,Spring,Uso medio
150,151,31/05/2011,2,0,5,0,2,1,1,31.775,7.459043,0.725383,63.6667,673,3309,0.20338470837110909,3982,Spring,Uso medio
151,152,01/06/2011,2,0,6,0,3,1,2,31.330847,13.875164,0.720967,67.7083,513,3461,0.14822305691996532,3974,Spring,Uso medio
152,153,02/06/2011,2,0,6,0,4,1,1,29.315,19.583229,0.643942,30.5,736,4232,0.17391304347826086,4968,Spring,Uso medio
153,154,03/06/2011,2,0,6,0,5,1,1,25.42,16.959107,0.587133,35.4167,898,4414,0.20344358858178524,5312,Spring,Uso medio
154,155,04/06/2011,2,0,6,0,6,0,1,26.035,8.250514,0.594696,45.625,1869,3473,0.5381514540742873,5342,Spring,Uso medio
155,156,05/06/2011,2,0,6,0,0,0,2,26.581653,9.292364,0.616804,65.25,1685,3221,0.5231294628997206,4906,Spring,Uso medio
156,157,06/06/2011,2,0,6,0,1,1,1,27.811653,8.167032,0.621858,60.0,673,3875,0.1736774193548387,4548,Spring,Uso medio
157,158,07/06/2011,2,0,6,0,2,1,1,29.0075,12.583136,0.65595,59.7917,763,4070,0.18746928746928748,4833,Spring,Uso medio
158,159,08/06/2011,2,0,6,0,3,1,1,31.809153,9.166739,0.727279,62.2083,676,3725,0.1814765100671141,4401,Spring,Uso medio
159,160,09/06/2011,2,0,6,0,4,1,2,33.141653,10.042161,0.757579,56.8333,563,3352,0.16795942720763724,3915,Spring,Uso medio
160,161,10/06/2011,2,0,6,0,5,1,1,30.955,9.417118,0.703292,60.5,815,3771,0.21612304428533546,4586,Spring,Uso medio
161,162,11/06/2011,2,0,6,0,6,0,1,29.725,10.37495,0.678038,65.4583,1729,3237,0.5341365461847389,4966,Spring,Uso medio
162,163,12/06/2011,2,0,6,0,0,0,1,28.3925,10.958989,0.643325,74.7917,1467,2993,0.49014366855997327,4460,Spring,Uso medio
163,164,13/06/2011,2,0,6,0,1,1,1,26.035,20.45845,0.601654,49.4583,863,4157,0.2076016357950445,5020,Spring,Uso medio
164,165,14/06/2011,2,0,6,0,2,1,1,24.770847,18.041961,0.591546,50.7083,727,4164,0.17459173871277617,4891,Spring,Uso medio
165,166,15/06/2011,2,0,6,0,3,1,1,25.693347,11.250104,0.587754,47.1667,769,4411,0.17433688506007708,5180,Spring,Uso medio
166,167,16/06/2011,2,0,6,0,4,1,2,25.761653,13.833557,0.595346,68.8333,545,3222,0.1691495965238982,3767,Spring,Uso medio
167,168,17/06/2011,2,0,6,0,5,1,1,26.615847,9.582943,0.600383,73.5833,863,3981,0.2167797035920623,4844,Spring,Uso medio
168,169,18/06/2011,2,0,6,0,6,0,1,28.563347,8.000336,0.643954,67.0417,1807,3312,0.5455917874396136,5119,Spring,Uso medio
169,170,19/06/2011,2,0,6,0,0,0,2,28.665847,6.834,0.645846,66.6667,1639,3105,0.5278582930756843,4744,Spring,Uso medio
170,171,20/06/2011,2,0,6,0,1,1,2,26.035,10.416825,0.595346,74.625,699,3311,0.21111446692842042,4010,Spring,Uso medio
171,172,21/06/2011,3,0,6,0,2,1,2,27.914153,11.458675,0.637646,77.0417,774,4061,0.19059344988918986,4835,Summer,Uso medio
172,173,22/06/2011,3,0,6,0,3,1,1,30.066653,11.541554,0.693829,70.75,661,3846,0.17186687467498699,4507,Summer,Uso medio
173,174,23/06/2011,3,0,6,0,4,1,2,29.861653,15.999868,0.693833,70.3333,746,4044,0.18447082096933728,4790,Summer,Uso medio
174,175,24/06/2011,3,0,6,0,5,1,1,29.690847,14.875675,0.656583,57.3333,969,4022,0.2409249129786176,4991,Summer,Uso medio
175,176,25/06/2011,3,0,6,0,6,0,1,28.495,14.041257,0.643313,48.3333,1782,3420,0.5210526315789473,5202,Summer,Uso medio
176,177,26/06/2011,3,0,6,0,0,0,1,27.88,6.3337311,0.637629,51.3333,1920,3385,0.5672082717872969,5305,Summer,Uso medio
177,178,27/06/2011,3,0,6,0,1,1,2,27.9825,7.208396,0.637004,65.8333,854,3854,0.22158796056045668,4708,Summer,Uso medio
178,179,28/06/2011,3,0,6,0,2,1,1,30.510847,9.666961,0.692558,63.4167,732,3916,0.18692543411644535,4648,Summer,Uso medio
179,180,29/06/2011,3,0,6,0,3,1,1,29.861653,17.542007,0.654688,49.7917,848,4377,0.19374000456933974,5225,Summer,Uso medio
180,181,30/06/2011,3,0,6,0,4,1,1,28.563347,12.415904,0.637008,43.4167,1027,4488,0.22883244206773617,5515,Summer,Uso medio
181,182,01/07/2011,3,0,7,0,5,1,1,29.6225,6.874736,0.652162,39.625,1246,4116,0.30272108843537415,5362,Summer,Uso medio
182,183,02/07/2011,3,0,7,0,6,0,1,30.271653,7.709154,0.667308,44.4583,2204,2915,0.7560891938250429,5119,Summer,Uso medio
183,184,03/07/2011,3,0,7,0,0,0,2,29.383347,15.333486,0.668575,68.25,2282,2367,0.9640895648500212,4649,Summer,Uso medio
184,185,04/07/2011,3,0,7,1,1,0,2,29.793347,5.4591064,0.665417,63.7917,3065,2978,1.0292142377434519,6043,Summer,Uso medio
185,186,05/07/2011,3,0,7,0,2,1,1,30.613347,8.459286,0.696338,59.0417,1031,3634,0.2837094111172262,4665,Summer,Uso medio
186,187,06/07/2011,3,0,7,0,3,1,1,29.52,10.042161,0.685633,74.3333,784,3845,0.20390117035110533,4629,Summer,Uso medio
187,188,07/07/2011,3,0,7,0,4,1,1,30.75,10.6664,0.686871,65.125,754,3838,0.19645648775403857,4592,Summer,Uso medio
188,189,08/07/2011,3,0,7,0,5,1,2,29.075847,15.083643,0.670483,75.7917,692,3348,0.2066905615292712,4040,Summer,Uso medio
189,190,09/07/2011,3,0,7,0,6,0,1,30.066653,11.250104,0.664158,60.9167,1988,3348,0.5937873357228196,5336,Summer,Uso medio
190,191,10/07/2011,3,0,7,0,0,0,1,30.6475,12.292557,0.690025,57.8333,1743,3138,0.5554493307839388,4881,Summer,Uso medio
